UF,ano,mes,temp_media_c,n_dias
PA,2025,10,27.646689815943358,1456
PA,2025,11,27.720587940542067,1337
PA,2025,12,26.580042132346726,630
PB,2025,1,26.428467289195282,434
PB,2025,2,25.948273883946577,392
PB,2025,3,26.15690368437331,408
PB,2025,4,26.71494832825118,318
PB,2025,5,25.85386904761905,308
PB,2025,6,25.285729166666666,240
PB,2025,7,24.7216193314633,248
PB,2025,8,25.08756763471115,236
PB,2025,9,25.617937801932367,240
PB,2025,10,26.73485557381705,352
PB,2025,11,28.22021964503501,333
PB,2025,12,28.048644213495194,186
PE,2025,1,26.28456993042021,620
PE,2025,2,25.911597636188862,560
PE,2025,3,26.592781385652838,610
PE,2025,4,26.464036258185324,572
PE,2025,5,24.757225406895515,568
PE,2025,6,23.040487399964412,488
PE,2025,7,22.1480003884443,496
PE,2025,8,22.595552970726096,496
PE,2025,9,23.26679591070087,484
PE,2025,10,24.640248547124916,558
PE,2025,11,26.538009625237887,540
PE,2025,12,26.74808818330908,279
PI,2025,1,26.38548666699117,938
PI,2025,2,27.34345349245883,734
PI,2025,3,27.212483073676257,806
PI,2025,4,27.660979968659408,780
PI,2025,5,28.11595806350931,806
PI,2025,6,28.526504584434704,734
PI,2025,7,28.7566357622664,734
PI,2025,8,29.84328292183549,678
PI,2025,9,30.724782518528638,588
PI,2025,10,30.601924360624825,558
PI,2025,11,30.410642341402664,544
PI,2025,12,28.106217153482906,291
PR,2025,1,23.62052625268283,1350
PR,2025,2,24.281232623708995,1196
PR,2025,3,23.629002025356613,1190
PR,2025,4,20.040202999169125,1032
PR,2025,5,18.32131936014601,1088
PR,2025,6,15.60594381667939,1044
PR,2025,7,14.66345675747033,1066
PR,2025,8,16.53138923256333,1050
PR,2025,9,19.939520697545415,1054
PR,2025,10,19.71231444939876,1038
PR,2025,11,20.535555272245283,907
PR,2025,12,23.196103705600272,494
RJ,2025,1,25.292743796940233,1544
RJ,2025,2,26.63530809844983,1380
RJ,2025,3,25.028100302593618,1550
RJ,2025,4,22.698633378972325,1476
RJ,2025,5,20.70109238223477,1510
RJ,2025,6,19.648766672624646,1550
RJ,2025,7,18.221363052746284,1608
RJ,2025,8,19.575177097314022,1606
RJ,2025,9,20.80201707480852,1550
RJ,2025,10,21.347733583460784,1568
RJ,2025,11,22.275695095465426,1540
RJ,2025,12,25.036237866968598,792
RN,2025,1,28.96744128430456,432
RN,2025,2,28.329313475848,386
RN,2025,3,27.87494049249579,422
RN,2025,4,28.486259852833577,414
RN,2025,5,27.945584917817722,394
RN,2025,6,27.527737487677516,348
RN,2025,7,27.108966455596892,370
RN,2025,8,27.49930334431036,372
RN,2025,9,27.61040733513693,326
RN,2025,10,27.992655501426317,282
RN,2025,11,28.509982920847268,250
RN,2025,12,29.00870394820203,153
RO,2025,1,25.37400295770482,140
RO,2025,2,24.806673783643895,112
RO,2025,3,24.963575268817202,124
RO,2025,4,25.357140700483093,120
RO,2025,5,25.773275788576303,102
RO,2025,6,25.612777777777776,60
RO,2025,7,24.56693548387097,62
RO,2025,8,27.362771739130434,64
RO,2025,9,27.76971618357488,60
RO,2025,10,27.31008064516129,62
RO,2025,11,26.935752070393374,100
RO,2025,12,25.819226273959792,31
RR,2025,1,28.301075268817204,62
RR,2025,2,28.10922619047619,56
RR,2025,3,28.238936662475314,62
RR,2025,4,28.50630390905391,60
RR,2025,5,28.24539269064269,60
RR,2025,6,28.583879268879272,60
RR,2025,7,28.117744379276637,62
RR,2025,8,29.64608604656992,62
RR,2025,9,31.184950091575093,60
RR,2025,10,29.321809523809527,10
RS,2025,1,23.6247121462544,2395
RS,2025,2,25.051858122183628,2126
RS,2025,3,23.064219918494455,2322
RS,2025,4,17.955877728579576,2205
RS,2025,5,16.464919057415088,2244
RS,2025,6,11.437840526026376,2094
RS,2025,7,11.909198268361374,2106
RS,2025,8,13.66475618256812,1874
RS,2025,9,16.137890382286912,1875
RS,2025,10,18.01186439933307,2828
RS,2025,11,19.84457691495873,3314
RS,2025,12,23.397923441651027,1483
SC,2025,1,22.44849003688745,1128
SC,2025,2,23.893768469638403,998
SC,2025,3,22.52358840244549,1102
SC,2025,4,18.578163413937098,1114
SC,2025,5,16.893647973524367,1098
SC,2025,6,13.278048035503069,978
SC,2025,7,12.193902151062007,988
SC,2025,8,13.88829097829178,962
SC,2025,9,15.860825591257015,942
SC,2025,10,17.222771479983763,850
SC,2025,11,18.841489408985538,798
SC,2025,12,22.276690302705347,371
SE,2025,1,27.07298387096774,186
SE,2025,2,26.640271307798486,168
SE,2025,3,26.793693105261426,126
SE,2025,4,27.00513888888889,120
SE,2025,5,25.142943548387095,124
SE,2025,6,24.018426932367152,120
SE,2025,7,23.35777558696563,124
SE,2025,8,23.512286699392238,124
SE,2025,9,23.94798611111111,120
SE,2025,10,24.654324794433904,124
SE,2025,11,26.078596014492753,120
SE,2025,12,26.687836438923394,62
SP,2025,1,24.434787158668613,2016
SP,2025,2,25.312697600664713,1822
SP,2025,3,24.75804757196005,1950
SP,2025,4,22.101153431383647,2172
SP,2025,5,20.00627040758228,2418
SP,2025,6,18.153703473003358,2336
SP,2025,7,17.078303588230934,2350
SP,2025,8,19.188830433811713,2308
SP,2025,9,22.353408310093414,2190
SP,2025,10,22.18081884611321,2228
SP,2025,11,22.502319105652308,2210
SP,2025,12,24.636099722686367,1185
TO,2025,1,25.30862421943587,924
TO,2025,2,25.570077142967996,840
TO,2025,3,26.127435105817153,882
TO,2025,4,26.362620883035277,840
TO,2025,5,25.937668365945374,896
TO,2025,6,25.51847923943345,840
TO,2025,7,25.133410595240264,868
TO,2025,8,26.853398267289528,872
TO,2025,9,28.624058928742603,800
TO,2025,10,28.564689268009076,806
TO,2025,11,26.947384046000558,852
TO,2025,12,25.591617835503882,463
